Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Amen Thompson,68,1221,538,357,99,40,24,169,0,0,18,0,1644.5,24.18
Jalen Brunson,65,1701,225,431,50,8,178,153,4,0,8,0,1570.5,24.16
Donovan Clingan,66,815,768,146,37,106,69,79,0,0,31,0,1594.0,24.15
Trey Murphy III,63,1372,359,242,97,22,208,116,3,0,4,0,1520.0,24.13
Jalen Duren,60,1151,632,99,53,50,0,101,0,0,36,0,1447.5,24.12
LaMelo Ball,61,1200,294,432,74,15,220,172,0,0,9,1,1453.0,23.82
Domantas Sabonis,19,301,216,78,18,4,5,51,0,0,12,0,452.0,23.79
Jayson Tatum,7,137,60,24,7,0,20,14,0,0,3,0,165.5,23.64
Derrick White,67,1161,301,374,80,95,191,119,0,0,1,0,1583.0,23.63
Austin Reaves,45,1059,216,248,50,18,106,130,3,1,6,0,1062.5,23.61
Cooper Flagg,58,1167,383,260,66,52,57,136,2,0,10,0,1367.0,23.57
Chet Holmgren,61,1052,548,102,34,113,74,95,0,0,23,0,1435.0,23.52
Julius Randle,71,1506,483,363,79,17,98,192,1,0,15,3,1670.0,23.52
Alex Sarr,47,775,346,127,39,94,49,81,0,0,12,0,1082.0,23.02
Devin Booker,54,1391,213,318,45,16,99,178,2,0,6,0,1228.0,22.74
Jimmy Butler III,38,760,211,185,55,8,32,60,0,0,3,0,861.0,22.66
Onyeka Okongwu,65,1005,505,212,72,71,129,114,0,0,15,0,1471.0,22.63
Jusuf Nurkić,41,447,425,196,52,22,25,101,0,0,16,3,926.0,22.59
Keyonte George,54,1275,199,332,58,14,134,166,1,0,4,0,1218.5,22.56
Rudy Gobert,68,750,777,118,53,108,0,94,0,0,29,0,1527.0,22.46
Zach Edey,11,150,122,12,7,21,1,26,0,0,5,0,244.5,22.23
Nikola Vučević,60,935,517,203,37,40,95,80,0,0,23,0,1332.0,22.2
